Aeronian
Albian
Alenian
Anisian
Aptian
Aquitanian
Archean
Artinskian
Asselian
Bajocian
Barremian
Bartonian
Bashkirian
Bathonian
Berriasian
Burdigalian
Calabrian 
Callovian
Calymmian
Cambrian
Campanian
Capitanian
Carboniferous
Carnian
Cenomanian
Cenozoic
Changhsingian
Chattian
Cisuralian
Coniacian
Cretaceous
Cryogenian
Danian
Dapingian
Darriwilian
Devonian
Drumian
Ectasian
Ediacaran
Eifelian
Emsian
Eoarchean
Eocene
Famennian
Floian
Fortunian
Frasnian
Furongian
Gelasian 
Givetian
Gorstian
Guadalupian
Guzhangian
Gzhelian
Hadean
Hauterivian
Hettangian
Hirnantian
Holocene
Homerian
Induan
Jingshanian
Jurassic
Kasimovian
Katian
Kimmeridgian
Kungurian
Ladinian
Langhian
Llandovery
Lochkovian
Lopingian
Lower Cretaceous
Lower Devonian
Lower Jurassic
Lower Mississippian
Lower Ordovician
Lower Pennsylvanian
Lower Triassic
Ludfordian
Ludlow
Lutetian
Maastrichtian
Mesoarchean
Mesoproterozoic
Mesozoic
Messinian
Middle 
Middle Devonian
Middle Jurassic
Middle Mississippian
Middle Ordovician
Middle Pennsylvanian
Middle Triassic
Miocene
Mississippian
Moscovian
Neoarchean
Neogene
Neoproterozoic
Norian
Olenekian
Oligocene
Ordovician
Orosirian
Oxfordian
Paibian
Palaeocene
Paleoarchean
Paleogene
Paleoproterozoic
Paleozoic
Pennsylvanian
Permian
Phanerozoic
Piacenzian
Pleistocene
Pliensbachian
Pliocene
Pragian
Precambrium
Priabonian
Pridoli
Proterozoic
Quaternary
Rhaetian
Rhuddanian
Rhyacian
Roadian
Rupelian
Sakmarian
Sandbian
Santonian
Satherian
Selandian
Series 2
Series 3
Serpukhovian
Serravallian
Sheinwoodian
Siderian
Silurian
Sinemurian
Stage 10
Stage 2
Stage 3
Stage 4
Stage 5
Stenian
Telychian
Terreneuvian
Thanetian
Tithonian
Toarcian
Tonian
Tortonian
Tournaisian
Tremadocian
Triassic
Turonian
Unknown/Not existent
Unknown/Not existing
Upper 
Upper Cretaceous
Upper Devonian
Upper Jurassic
Upper Mississippian
Upper Ordovician
Upper Pennsylvanian
Upper Triassic
Valanginian
Visean
Wenlock
Wordian
Wuchiapingian
Ypresian
Zanclean
