alColumnName,alAlias,alTableName,alTableAlias,alImport,alDataType
resDirection,Direction,tblResistivity,Resistivity,1,Categorical
resSaturation,Sample saturation [%],tblResistivity,Resistivity,1,Numerical
reslabmeIdFk,Measurement ID,tblResistivity,Resistivity,0,Numerical
sampArchitecturalElementIdFk,Architectural element ID,tblRockSample,Rock sample,1,Numerical
sampArchitecturalElementI,Architectural element,tblRockSample,Rock sample,0,Categorical
sampDepositionalEnvironmentIdFk,Depositional environment ID,tblRockSample,Rock sample,1,Numerical
sampDepositionalEnvironment,Depositional environment,tblRockSample,Rock sample,0,Categorical
Apparent_permeability_Minimum,Minimum Apparent Permeability [m2],v_PetrophysicsRockSamples,Petrophysics,1,Numerical
Lithostratigraphy,Lithostratigraphy,v_PetrophysicsRockSamples,Petrophysics,1,Categorical
Petrography,Petrography,v_PetrophysicsRockSamples,Petrophysics,1,Categorical
Object_of_investigation,Object of investigation,v_PetrophysicsRockSamples,Petrophysics,1,Categorical
Sample_type,Sample type,v_PetrophysicsRockSamples,Petrophysics,1,Categorical
Chronostratigraphy,Chronostratigraphy,v_PetrophysicsRockSamples,Petrophysics,1,Categorical
Lithofacies,Lithofacies,v_PetrophysicsRockSamples,Petrophysics,1,Categorical
Architectural_element,Architectural element,v_PetrophysicsRockSamples,Petrophysics,1,Categorical
Depositional_environment,Depositional environment,v_PetrophysicsRockSamples,Petrophysics,1,Categorical
Grain_density_Minimum,Grain density [g cm-3] Minimum,v_PetrophysicsRockSamples,Petrophysics,1,Numerical
Bulk_density_Minimum,Bulk density [g cm-3] Minimum,v_PetrophysicsRockSamples,Petrophysics,1,Numerical
Apparent_permeability_Average,Apparent permeability [m2] Average,v_PetrophysicsRockSamples,Petrophysics,1,Numerical
Sample_type,Sample type,v_PetrophysicsRockSamples,Petrophysics,1,Categorical
CaO,CaO [%],v_PetrophysicsRockSamples,Petrophysics,1,Numerical
P2O5,P2O5 [%],v_PetrophysicsRockSamples,Petrophysics,1,Numerical
MgO,MgO [%],v_PetrophysicsRockSamples,Petrophysics,1,Numerical
K2O,K2O [%],v_PetrophysicsRockSamples,Petrophysics,1,Numerical
Na2O,Na2O [%],v_PetrophysicsRockSamples,Petrophysics,1,Numerical
MnO,MnO [%],v_PetrophysicsRockSamples,Petrophysics,1,Numerical
TiO2,TiO2 [%],v_PetrophysicsRockSamples,Petrophysics,1,Numerical
Intrinsic_permeability,,,,,
Intrinsic permeability [m2] Minimum,v_PetrophysicsRockSamples,Petrophysics,1,Numerical,
Porosity_Minimum,Porosity [%] Minimum,v_PetrophysicsRockSamples,Petrophysics,1,Numerical
Thermal_conductivity_Minimum,Thermal conductivity [W m^-1 K^-1] Minimum,v_PetrophysicsRockSamples,Petrophysics,1,Numerical
Thermal_diffusivity_Minimum ,Thermal diffusivity [m^2 s^-1] Minimum,v_PetrophysicsRockSamples,Petrophysics,1,Numerical
P_sonic_wave_velocity_Minimum ,P sonic wave velocity [m s^-1] Minimum,v_PetrophysicsRockSamples,Petrophysics,1,Numerical
S_sonic_wave_velocity_Minimum ,S sonic wave velocity [m s^-1] Minimum,v_PetrophysicsRockSamples,Petrophysics,1,Numerical
Local_x,Local x [m],v_PetrophysicsRockSamples,Petrophysics,1,Numerical
Local_y,Local y [m],v_PetrophysicsRockSamples,Petrophysics,1,Numerical
Local_z,Local z [m],v_PetrophysicsRockSamples,Petrophysics,1,Numerical
RowID,ID,v_PetrophysicsFieldMeasurements,Petrophysics field,1,Numerical
Local_x,Local x (m),v_PetrophysicsFieldMeasurements,Petrophysics field,1,Numerical
Local_y,Local y (m),v_PetrophysicsFieldMeasurements,Petrophysics field,1,Numerical
Local_z,Local z (m),v_PetrophysicsFieldMeasurements,Petrophysics field,1,Numerical
Lithostratigraphy,Lithostratigraphy,v_PetrophysicsFieldMeasurements,Petrophysics field,1,Categorical
Petrography,Petrography,v_PetrophysicsFieldMeasurements,Petrophysics field,1,Categorical
Magnetic_susceptibility_maximum,Magnetic susceptibility [10-6 SI] maximum,v_PetrophysicsFieldMeasurements,Petrophysics field,1,Numerical
Magnetic_susceptibility_minimum,Magnetic susceptibility [10-6 SI] minimum,v_PetrophysicsFieldMeasurements,Petrophysics field,1,Numerical
Potassium_maximum_percent,Potassium [%] maximum,v_PetrophysicsFieldMeasurements,Petrophysics field,1,Numerical
Potassium_minimum_percent,Potassium [%] minimum,v_PetrophysicsFieldMeasurements,Petrophysics field,1,Numerical
Uranium_maximum_ppm,Uranium [ppm] maximum,v_PetrophysicsFieldMeasurements,Petrophysics field,1,Numerical
Uranium_minimum_ppm,Uranium [ppm] minimum,v_PetrophysicsFieldMeasurements,Petrophysics field,1,Numerical
Thorium_maximum_ppm,Thorium [ppm] maximum,v_PetrophysicsFieldMeasurements,Petrophysics field,1,Numerical
Thorium_minimum_ppm,Thorium [ppm] minimum,v_PetrophysicsFieldMeasurements,Petrophysics field,1,Numerical
API_maximum,Total radiation [API] maximum,v_PetrophysicsFieldMeasurements,Petrophysics field,1,Numerical
API_minimum,Total radiation [API] minimum,v_PetrophysicsFieldMeasurements,Petrophysics field,1,Numerical
Dip_direction_degree,Dip direction [ｰ],v_PetrophysicsFieldMeasurements,Petrophysics field,1,Numerical
rqdfimeIdFk,Measurement ID,tblRockQualityDesignationIndex,RQD,0,Numerical
rqdValue,RQD Value,tblRockQualityDesignationIndex,RQD,1,Numerical
rqdType,RQD Type,tblRockQualityDesignationIndex,RQD,1,Categorical
rqdZfrom,Local z from,tblRockQualityDesignationIndex,RQD,1,Numerical
rqdZto,Local z to,tblRockQualityDesignationIndex,RQD,1,Numerical
rqdXfrom,Local x from,tblRockQualityDesignationIndex,RQD,1,Numerical
rqdXto,Local x to,tblRockQualityDesignationIndex,RQD,1,Numerical
rqdYfrom,Local y from,tblRockQualityDesignationIndex,RQD,1,Numerical
rqdYto,Local y to,tblRockQualityDesignationIndex,RQD,1,Numerical
btValue,Temperature [ｰC],tblBoreholeTemperature,Temperature,1,Numerical
btfimeIdFk,Measurement ID,tblBoreholeTemperature,Temperature,0,Numerical
btMeasurementTime,Measurement time [s],tblBoreholeTemperature,Temperature,1,Numerical
btDeviceVelocity,Device velocity [m/s],tblBoreholeTemperature,Temperature,1,Numerical
slfimeIdFk,Measurement ID,tblSonicLog,Sonic Log,0,Numerical
slValue,Sonic velocity [m/s],tblSonicLog,Sonic Log,1,Numerical
slMeasurementTime,Measurement time [s],tblSonicLog,Sonic Log,1,Numerical
slDeviceVelocity,Device velocity [m/s],tblSonicLog,Sonic Log,1,Numerical
Longitude,Longitude [ｰ],v_PetrophysicsRockSamples,Petrophysics,1,Numerical
Latitude,Latitude [ｰ],v_PetrophysicsRockSamples,Petrophysics,1,Numerical
Resistivity_Maximum,Resistivity [Ohmm] Maximum,v_PetrophysicsRockSamples,Petrophysics,1,Numerical
Resistivity_Minimum,Resistivity [Ohmm] Minimum,v_PetrophysicsRockSamples,Petrophysics,1,Numerical
C14,14C [云,v_PetrophysicsRockSamples,Petrophysics,1,Numerical
O16,16O [云 ,v_PetrophysicsRockSamples,Petrophysics,1,Numerical
O18,18O [云,v_PetrophysicsRockSamples,Petrophysics,1,Numerical
Grain_Size_Maximum,Grain size class Maximum,v_PetrophysicsRockSamples,Petrophysics,1,Numerical
Grain_Size_Minimum,Grain size class Minimum,v_PetrophysicsRockSamples,Petrophysics,1,Numerical
gslabmeIdPk,Measurement ID,tblGrainSize,Grain size,0,Numerical
gsAverage,Average grain size class,tblGrainSize,Grain size,1,Numerical
gsMaximum,Maximum grain size class,tblGrainSize,Grain size,1,Numerical
gsMinimum,Minimum grain size,tblGrainSize,Grain size,1,Numerical
gsScale,Used scale,tblGrainSize,Grain size,1,Numerical
gsSizeDomain,Size domain m2,tblGrainSize,Grain size,1,Numerical
gscIdPk,Measurement ID,tblGrainSizeCurve,Grain Size Curve,0,Numerical
gscGsIdFk,Measurement Reference,tblGrainSizeCurve,Grain Size Curve,1,Numerical
gsGrainSizeMM,Grain size [mm],tblGrainSizeCurve,Grain Size Curve,1,Numerical
gsPercentage,Ratio [%],tblGrainSizeCurve,Grain Size Curve,1,Numerical
aclabmeIdFk,Measurement ID,tblAxialCompression,Axial compression,0,Numerical
acType,Compression type,tblAxialCompression,Axial compression,1,Categorical
acAxialStressMax,Maximal axial stress [MPa],tblAxialCompression,Axial compression,1,Numerical
acAxialStrainAtStressMax,Axial strain at maximum stress [MPa],tblAxialCompression,Axial compression,1,Numerical
acAxialStrainMax,Maximal axial strain [MPa],tblAxialCompression,Axial compression,1,Numerical
acLateralStress,Lateral stress [MPa],tblAxialCompression,Axial compression,1,Numerical
acStrainMeasuringMethod,Strain measurement method,tblAxialCompression,Axial compression,1,Categorical
acLoadControl,Load control,tblAxialCompression,Axial compression,1,Categorical
acYoungsModulus,Youngs modulus [GPa],tblAxialCompression,Axial compression,1,Numerical
acPoissonRatio,Poisson ratio [-],tblAxialCompression,Axial compression,1,Numerical
Grain_density_Maximum,Grain density [g cm-3] Maximum,v_PetrophysicsRockSamples,Petrophysics,1,Numerical
Bulk_density_Maximum,Bulk density [g cm^-3] Maximum,v_PetrophysicsRockSamples,Petrophysics,1,Numerical
Porosity_Maximum,Porosity [%] Maximum,v_PetrophysicsRockSamples,Petrophysics,1,Numerical
Intrinsic_permeability_Maximum,Intrinsic permeability [m^2] Maximum,v_PetrophysicsRockSamples,Petrophysics,1,Numerical
Apparent_permeability_Maximum,Apparent permeability [m^2] Maximum,v_PetrophysicsRockSamples,Petrophysics,1,Numerical
Thermal_conductivity_Maximum,Thermal conductivity [W m^-1 K^-1] Maximum,v_PetrophysicsRockSamples,Petrophysics,1,Numerical
Thermal_diffusivity_Maximum,Thermal diffusivity [m^2 s^-1] Maximum,v_PetrophysicsRockSamples,Petrophysics,1,Numerical
P_sonic_wave_velocity_Maximum,P sonic wave velocity [m s^-1] Maximum,v_PetrophysicsRockSamples,Petrophysics,1,Numerical
S_sonic_wave_velocity_Maximum ,S sonic wave velocity [m s^-1] Maximum,v_PetrophysicsRockSamples,Petrophysics,1,Numerical
Resistivity,Resistivity [Ohmm],NULL,NULL,NULL,Numerical
C13,13C [云,NULL,NULL,NULL,Numerical
measIdPk,Measurement ID,tblMeasurement,Measurements,0,Numerical
measType,Measurement Type,tblMeasurement,Measurements,1,Categorical
measParameter,Parameter,tblMeasurement,Measurements,1,Categorical
measResultType,Result type,tblMeasurement,Measurements,1,Categorical
measRockSampleIdFk,Rock sample reference,tblMeasurement,Measurements,1,Categorical
measObjectOfInvestigationIdFk,Object of investigation reference,tblMeasurement,Measurements,1,Categorical
measLithostratigraphy,Lithostratigraphy,tblMeasurement,Measurements,1,Categorical
measChronostratigraphy,Chronostratigraphy,tblMeasurement,Measurements,1,Categorical
measDevice,Analytical device,tblMeasurement,Measurements,1,Categorical
measPetrography,Petrography,tblMeasurement,Measurements,1,Categorical
measFacies,Facies type,tblMeasurement,Measurements,1,Categorical
measArchitecturalElement,Architectural element,tblMeasurement,Measurements,1,Categorical
measLocalCoordinateX,Local X coordinate [m],tblMeasurement,Measurements,1,Numerical
measLocalCoordinateY,Local Y coordinate [m],tblMeasurement,Measurements,1,Numerical
measLocalCoordinateZ,Local Z coordinate [m],tblMeasurement,Measurements,1,Numerical
measLatitude,Latitude [WGS84],tblMeasurement,Measurements,1,Numerical
measLongitude,Longitude [WGS84],tblMeasurement,Measurements,1,Numerical
measElevation,Elevation [m asl],tblMeasurement,Measurements,1,Numerical
measDirection,Direction,tblMeasurement,Measurements,1,Categorical
measUploadDate,Date,tblMeasurement,Measurements,1,Categorical
measProject,Project,tblMeasurement,Measurements,0,Categorical
measprjIdFk,Project ID,tblMeasurement,Measurements,0,Numerical
measUploaderId,Uploader ID,tblMeasurement,Measurements,0,Numerical
measFaciesIdFk,Facies ID,tblMeasurement,Measurements,1,Numerical
measArchitecturalElementIdFk,Architectural Element ID,tblMeasurement,Measurements,1,Numerical
measDepositionalEnvironmentIdFk,Depositional environment ID,tblMeasurement,Measurements,1,Numerical
measAnalyticalDeviceId,Analytical device ID,tblMeasurement,Measurements,1,Numerical
measUploader,Uploader,tblMeasurement,Measurements,0,Categorical
hhmeasIdFk,Measurement ID,tblHydraulicHead,Hydraulic head,0,Numerical
hhHead,Hydraulic head [m],tblHydraulicHead,Hydraulic head,1,Numerical
hhAccuracy,Hydraulic head accuracy [m],tblHydraulicHead,Hydraulic head,1,Numerical
hhMeasurementTime,Measurement time [s],tblHydraulicHead,Hydraulic head,1,Numerical
sampElevation,Elevation [m a.s.l.],tblRockSample,Rock sample,1,Numerical
tgrTotalCount,Total counts [-],tblTotalGammaRay,Total Gamma Ray,1,Numerical
tgrValueAPI,API,tblTotalGammaRay,Total Gamma Ray,1,Numerical
