(Arenite-) Sandstone
(Ash-) Tuff 
Acidic to intermediate Hornfels
Acidic volcanic rock
Actinolite- schist
Agglomerate
Agglutinate
Air- fall- deposit
"Air-fall deposit, consolidated"
Albite- Gneiss
Albite- mica schist
Albite- Phyllite
Algual biolithite
Alkali- basalt
Alkali- Basalt (TAS)
"Alkali- basalt, Amphibole- bearing"
Alkali- basaltic meta pyroclastic rock
Alkali- basaltic meta volcaniclastic rock
Alkali- basaltic volcanic rock
Alkali- Basaltic volcaniclast
Alkali- Feldspar- Granite
Alkali- Lamprophyre
Alkali- Olivine- Basalt (TAS)
Alkalibasaltic Dolerite
Alkalibasaltic Meta- Dolerite
Alkali-Feldspar-Rhyolite (QAPF)
Alkali-Feldspar-Syenite (QAPF)
Alkali-Feldspar-Trachyte (QAPF)
Allothonous limestone
Alnoite
Alum shale
Aluminia- ore
Amphibolite
Analcimite (QAPF)
Anatexite
Andalusite- Gneiss
Andalusite- Hornfels
Andalusite- mica schist
Andesite (QAPF)
Andesite (TAS)
Andesitic agglomerate
Andesitic agglutinate
"Andesitic air- flow- deposit, consolidated"
Andesitic ash- block- tuff
Andesitic ash- bomb- tuff
"Andesitic ash- flow- deposit, consolidated"
Andesitic ash- lapilli- tuff
Andesitic ash- tuff
Andesitic ash- tuff- breccia
Andesitic block- ash- tuff
Andesitic block- lapilli- tuff
Andesitic block- tuff
Andesitic bomb- ash- tuff
Andesitic bomb- lapilli- tuff
Andesitic bomb- tuff
Andesitic crystal- ash- tuff
"Andesitic Ignimbrite, consolidated"
"Andesitic Ignimbrite, unwelded, consolidated"
"Andesitic Ignimbrite, welded"
Andesitic lapilli- ash- tuff
Andesitic lapilli- block- tuff
Andesitic lapilli- bomb- tuff
Andesitic lapilli- tuff
Andesitic lapilli- tuff- breccia
Andesitic meta pyroclastic rock
Andesitic meta volcaniclastic rock
Andesitic Peperite
"Andesitic surge- deposit, consolidated"
Andesitic tuff- breccia
Andesitic volcanic rock
Andesitic volcaniclast
Anhydrite
Anorthosite (QAPF)
Anthracite
Apatite- mica schist
Apatite- Quartzite
Arenite
Argillaceous marl
Argillaceous marl sediment
Arkose
Artificial sediments
Ash- block- layering
Ash- block- tuff
Ash- bomb- layering
Ash- Bomb- Tuff
Ash- flow- deposit
Ash- lapilli- layering
Ash- Lapillistone
Ash- layering
Ash- tuff- breccia
"Ash-flow deposit, consolidated"
Asphalt
Autochthonous limestone
Autoclastic meta- volcaniclastic rock
Autoclastic Volcaniclast
Autoclastic/ hydroclastic meta volcaniclastic rock
Bafflestone
Basalt (QAPF)
Basalt (TAS)
Basaltic agglomerate
Basaltic agglutinate
"Basaltic air- fall- deposit, consolidated"
Basaltic Andesite (TAS)
Basaltic ash- block- tuff
Basaltic ash- bomb- tuff
"Basaltic ash- flow- deposit, consolidated"
Basaltic ash- lapilli tuff
Basaltic ash- tuff
Basaltic ash- tuff- breccia
Basaltic block- ash- tuff
Basaltic block- lapilli- tuff
Basaltic block- tuff
Basaltic bomb- ash- tuff
Basaltic bomb- lapilli- tuff
Basaltic bomb- tuff
Basaltic crystal ash- tuff
Basaltic crystal lapilli- tuff
"Basaltic Ignimbrite, consolidated"
Basaltic lapilli- ash- tuff
Basaltic lapilli- block- tuff
Basaltic lapilli- bomb- tuff
Basaltic lapilli- tuff
Basaltic lapilli- tuff- breccia
Basaltic meta pyroclastic rock
Basaltic meta volcaniclastic rock
Basaltic Peperite
"Basaltic surge- deposit, consolidated"
Basaltic Trachyandesite (TAS)
Basaltic tuff- breccia
Basaltic volcanic rock
Basaltic volcaniclast
Basanite (QAPF)
Basanite (TAS)
"basanite, Amphibole- bearing"
"Basanite, Analcim- rich"
Basanitic agglomerate
Basanitic agglutinate
"Basanitic air- fall- deposit, consolidated"
Basanitic ash- block- tuff
Basanitic ash- bomb- tuff
"Basanitic ash- flow- deposit, consolidated"
Basanitic ash- lapilli- tuff
Basanitic ash- tuff
Basanitic ash- tuff- breccia
Basanitic block- ash tuff
Basanitic block- lapilli- tuff
Basanitic block- tuff
Basanitic bomb- ash- tuff
Basanitic bomb- lapilli- tuff
Basanitic bomb- tuff
Basanitic crystall ash- tuff
"Basanitic Ignimbrite, consolidated"
"Basanitic Ignimbrite, unwelded, consolidated"
Basanitic lapilli- ash- tuff
Basanitic lapilli- block- tuff
Basanitic lapilli- bomb- tuff
Basanitic lapilli- tuff
Basanitic lapilli- tuff- breccia
Basanitic meta pyroclastic rock
Basanitic meta volcaniclastic rock
Basanitic peperite
Basanitic surhe- deposit- consolidated
Basanitic tuff- breccia
Basanitic volcanic rock
Basanitic volcaniclast
Basanitic-Foidite (QAPF)
Basic volcanic rocks
Benmoreite (TAS)
Bindstone
Bioclastic rock
Biolithites
Biomicrite- Limestone
Biopelmicrite- Limestone
Biopelsparite- Limestone
Biosparite- Limestone
Biotite- Amphibolite
Biotite- Cordierit- Gneiss
Biotite- Garnet- Gneiss
Biotite- Gneiss
Biotite- Hornblende- Plagioclase- Hornfels
Biotite- Muscovite- Gneiss
Biotite- Plagioclase- Gneiss
Biotite- Plagioclase- mica schist
Biotite- Pyroxene- Amphibolite
Biotite- Sillimanite- Gneiss
Bitumen
Bituminous-coal
Black shale
Block ash- layering
Block ash- tuff
Block- debris
