Thermal conductivity [W/mK],x [m],y [m],elevation [m],Date,Name
1.887,3480956.741,5529403.744,146.62,1/1/0001 12:00:00 AM,"GA1(23,38)"
2.098,3480956.741,5529403.744,143,1/1/0001 12:00:00 AM,"GA1(27,0)"
2.203,3480956.741,5529403.744,140.3,1/1/0001 12:00:00 AM,29.7 Plug
2.326,3480956.741,5529403.744,138,1/1/0001 12:00:00 AM,33 Plug
2.278,3480956.741,5529403.744,137,1/1/0001 12:00:00 AM,"GA1(33,0)"
2.326,3480956.741,5529403.744,136.8,1/1/0001 12:00:00 AM,33.2 Plug
2.288,3480956.741,5529403.744,135.4,1/1/0001 12:00:00 AM,"GA1(34,6)"
2.236,3480956.741,5529403.744,133.7,1/1/0001 12:00:00 AM,36.3 Plug
2.106,3480956.741,5529403.744,132.6,1/1/0001 12:00:00 AM,37.4 Plug
3.276,3480956.741,5529403.744,129.6,1/1/0001 12:00:00 AM,40.4 Plug
2.157,3480956.741,5529403.744,129.2,1/1/0001 12:00:00 AM,"GA1(40,8)"
2.164,3480956.741,5529403.744,129,1/1/0001 12:00:00 AM,"GA1(41,0)"
2.077,3480956.741,5529403.744,128.25,1/1/0001 12:00:00 AM,"GA1(41,75)"
2.432,3480956.741,5529403.744,128,1/1/0001 12:00:00 AM,43 Plug
2.178,3480956.741,5529403.744,127.9,1/1/0001 12:00:00 AM,"GA1(42,1)"
,,,,,
